"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v"
27.2918,162.0,0.309,-0.1467,465.0,0.0592213
68.8277,248.0,0.55415,-0.2612,598.0,0.992886
52.9758,190.0,0.5219,-0.2677,482.0,0.156816
87.0992,189.0,0.8702,-0.37635,555.0,0.288115
14.3924,134.0,0.21521,-0.1207,298.0,0.00855513
26.4445,177.0,0.302,-0.1775,367.0,0.0262161
74.9532,195.0,0.7758,-0.2793,579.0,1.15211
26.9525,158.0,0.354,-0.173,360.0,0.0529045
17.4532,144.0,0.23234,-0.1453,302.0,0.00638784
47.4901,243.0,0.3805,-0.19195,584.0,0.656369
29.9306,222.0,0.2481,-0.1581,486.0,0.0938982
20.3827,184.0,0.2065,-0.0835,582.0,0.592574
74.7955,214.0,0.65255,-0.3839,506.0,0.125577
61.8845,221.0,0.55685,-0.29415,615.0,0.240582
75.0939,197.0,0.7359,-0.4117,451.0,0.069852
51.2904,165.0,0.6271,-0.2827,419.0,0.0970575
16.7106,191.0,0.161825,-0.08165,496.0,0.225883
66.3171,176.0,0.73235,-0.304,518.0,0.377294
11.4047,289.0,0.072445,-0.035125,735.0,0.476419
27.4269,186.0,0.2796,-0.1318,499.0,0.370332
22.3342,245.0,0.165995,-0.07255,738.0,0.668687
13.9898,153.0,0.18385,-0.06888,486.0,0.243005
52.8926,176.0,0.5717,-0.29715,451.0,0.0323479
80.0851,178.0,0.9697,-0.3779,507.0,1.51724
52.4076,174.0,0.5662,-0.3601,379.0,0.0141335
35.2419,172.0,0.39935,-0.1224,641.0,1.39867
34.336,225.0,0.3155,-0.11195,652.0,0.893467
51.0803,297.0,0.29975,-0.15375,785.0,1.96368
26.5905,144.0,0.3654,-0.13695,451.0,0.362541
23.0638,131.0,0.331965,-0.16805,324.0,0.0352363
81.8992,245.0,0.69515,-0.26405,668.0,1.07745
38.1545,168.0,0.4373,-0.17485,498.0,0.182731
31.6379,162.0,0.36635,-0.2127,382.0,0.00854701
73.6338,234.0,0.5545,-0.2701,676.0,0.536242
17.8605,254.0,0.12779,-0.0613,691.0,0.299311
54.8416,161.0,0.70985,-0.2962,426.0,0.104989
84.1831,239.0,0.70305,-0.3291,588.0,0.404321
36.2545,152.0,0.4615,-0.19045,442.0,0.0279834
13.0204,185.0,0.137025,-0.06519,503.0,0.0660064
36.1634,184.0,0.37245,-0.16515,526.0,0.16212
17.381,164.0,0.20487,-0.118,373.0,0.0151302
28.8661,141.0,0.4011,-0.16975,407.0,0.166974
59.3454,198.0,0.5561,-0.2959,526.0,0.121397
18.1327,193.0,0.171815,-0.0789,591.0,0.132314
30.1842,205.0,0.29345,-0.19865,391.0,0.0106842
72.8766,198.0,0.69995,-0.3503,490.0,0.593454
37.8382,144.0,0.49495,-0.22825,403.0,0.134339
26.4128,142.0,0.374,-0.1681,379.0,0.0365643
40.7922,216.0,0.3704,-0.1892,509.0,0.464769
62.0878,159.0,0.7832,-0.3848,380.0,0.12362
70.4356,208.0,0.6619,-0.27455,579.0,0.592705
22.7998,157.0,0.283665,-0.15815,344.0,0.0189143
40.0208,193.0,0.39675,-0.1754,528.0,0.834392
35.1875,145.0,0.48815,-0.23775,348.0,0.103939
26.3737,214.0,0.2085,-0.08655,751.0,0.748297
38.0039,171.0,0.42435,-0.228,411.0,0.12356
54.3163,143.0,0.7564,-0.3202,387.0,1.01426
29.2503,125.0,0.46995,-0.17725,391.0,0.295439
48.3002,239.0,0.3727,-0.1789,614.0,0.844759
57.4224,178.0,0.58415,-0.2993,488.0,0.0650625
22.6559,152.0,0.29197,-0.1676,369.0,0.0125178
40.7308,173.0,0.44725,-0.23195,415.0,0.0388347
51.5983,212.0,0.41215,-0.1568,769.0,1.91446
15.456,167.0,0.184645,-0.079325,428.0,0.129355
20.1428,223.0,0.164325,-0.09435,510.0,0.157896
59.4162,226.0,0.4626,-0.20475,730.0,1.15751
29.1942,177.0,0.31535,-0.1713,408.0,0.0607083
52.4181,228.0,0.41995,-0.1961,654.0,0.39461
46.5449,164.0,0.5184,-0.2584,435.0,0.582246
101.407,238.0,0.81785,-0.34105,658.0,1.77946
32.7694,165.0,0.3635,-0.14505,612.0,0.228814
86.5213,235.0,0.71465,-0.3257,612.0,0.423407
71.1258,154.0,0.90925,-0.5055,332.0,0.0219331
39.7072,214.0,0.32405,-0.18155,586.0,0.112614
44.1205,162.0,0.5389,-0.22855,446.0,0.297631
28.2012,145.0,0.37675,-0.2509,284.0,0.00276526
84.0888,192.0,0.8863,-0.35175,538.0,1.31759
33.9349,168.0,0.39145,-0.17065,483.0,0.133537
33.3603,184.0,0.32805,-0.10705,723.0,0.978223
24.2418,197.0,0.24448,-0.116,491.0,0.159621
16.3057,175.0,0.17005,-0.0743,516.0,0.847816
22.2979,206.0,0.20255,-0.1149,477.0,0.016613
23.8171,205.0,0.214015,-0.0772,679.0,1.11155
125.173,182.0,1.59775,-0.6075,464.0,0.16225
28.5869,131.0,0.4144,-0.2194,330.0,0.00777
43.5719,167.0,0.50895,-0.26615,401.0,0.126401
82.6322,217.0,0.74585,-0.3922,545.0,0.28434
38.3023,133.0,0.5779,-0.29995,308.0,0.0228249
12.2042,112.0,0.226275,-0.10652,314.0,0.00101412
77.0334,189.0,0.81695,-0.3502,504.0,0.558542
67.5923,146.0,0.976,-0.32035,466.0,0.395454
34.8451,216.0,0.30115,-0.15035,599.0,0.141863
27.8154,139.0,0.40325,-0.21745,301.0,0.00649749
85.9524,186.0,0.9046,-0.49285,417.0,0.0896109
117.423,170.0,1.49135,-0.4496,548.0,1.32271
30.7913,149.0,0.4173,-0.1346,522.0,0.967183
32.2521,162.0,0.39875,-0.1661,461.0,0.17243
12.8163,121.0,0.20159,-0.10849,307.0,0.00498706
118.605,138.0,1.8254,-0.80245,333.0,0.0386206
114.321,266.0,0.8977,-0.3813,685.0,0.6775
33.5162,162.0,0.38245,-0.18615,441.0,0.109553
66.4811,140.0,0.9221,-0.45755,337.0,0.0472949
13.4236,174.0,0.14939,-0.0557,576.0,0.22399
49.1185,151.0,0.64275,-0.22805,530.0,1.05215
27.3825,221.0,0.253905,-0.15285,525.0,0.0512458
51.2509,173.0,0.56155,-0.26975,461.0,0.123804
25.4186,186.0,0.25509,-0.12575,495.0,0.105982
72.1953,173.0,0.8849,-0.41215,414.0,0.290218
51.3174,128.0,0.8085,-0.4108,295.0,0.00936812
82.813,205.0,0.7667,-0.3553,538.0,0.324732
14.7378,175.0,0.162475,-0.08845,450.0,0.0278003
80.5705,221.0,0.7152,-0.2653,663.0,1.22722
24.268,150.0,0.32224,-0.14665,384.0,0.0395133
56.0913,178.0,0.60075,-0.3198,445.0,0.0855267
78.0582,153.0,1.0299,-0.3254,547.0,1.98848
84.2445,234.0,0.75545,-0.2948,613.0,1.40095
22.0604,228.0,0.16796,-0.07695,701.0,0.370711
63.8886,215.0,0.63995,-0.25865,566.0,0.47244
44.8242,138.0,0.59255,-0.26565,398.0,0.0313354
45.5706,213.0,0.40285,-0.15705,628.0,1.35314
12.4565,183.0,0.13166,-0.067415,510.0,0.0818769
39.4669,184.0,0.40245,-0.1867,484.0,0.890525
41.6802,181.0,0.4354,-0.1589,588.0,1.94407
73.3352,182.0,0.80935,-0.4212,411.0,0.120066
34.7544,200.0,0.3155,-0.16295,592.0,0.323103
66.3866,191.0,0.6848,-0.2611,573.0,0.935394
63.7024,165.0,0.7052,-0.3169,480.0,0.923859
33.7852,163.0,0.446,-0.1739,433.0,0.124079
53.4197,128.0,0.82945,-0.4212,289.0,0.114775
75.8069,264.0,0.72485,-0.2733,697.0,0.422221
26.6992,182.0,0.296405,-0.1422,424.0,0.11263
69.1527,192.0,0.68345,-0.3122,547.0,0.14639
63.6976,258.0,0.4528,-0.2188,675.0,0.740595
27.8987,159.0,0.3266,-0.1179,538.0,0.605847
30.1532,189.0,0.3069,-0.1368,544.0,0.655748
30.9717,173.0,0.345,-0.1778,411.0,0.0838017
100.14,146.0,1.438,-0.4995,451.0,0.992112
47.1701,237.0,0.37765,-0.16155,639.0,1.00097
23.3885,201.0,0.21431,-0.07535,696.0,1.15449
57.1933,181.0,0.5884,-0.29185,477.0,0.13514
29.0888,204.0,0.25555,-0.1318,548.0,0.0461287
124.532,183.0,1.547,-0.53655,502.0,0.25414
18.3944,161.0,0.219355,-0.1409,327.0,0.0156708
26.1363,218.0,0.20247,-0.09355,702.0,0.327222
31.7528,171.0,0.3471,-0.1308,575.0,0.718099
49.283,182.0,0.4983,-0.162,698.0,1.61713
41.9132,170.0,0.4689,-0.195,521.0,0.242607
57.3427,173.0,0.64215,-0.26365,503.0,0.110519
40.5217,179.0,0.46785,-0.1904,472.0,0.206238
62.6635,257.0,0.45405,-0.2126,670.0,0.713386
33.1065,191.0,0.32635,-0.12685,593.0,0.433756
29.4947,199.0,0.28085,-0.11085,617.0,0.895993
61.4094,118.0,1.06155,-0.5204,266.0,0.0207592
52.7144,134.0,0.739,-0.3692,347.0,0.0717471
39.5581,209.0,0.3614,-0.1726,540.0,0.308485
81.2287,236.0,0.6155,-0.3056,674.0,0.884652
36.9557,170.0,0.4364,-0.2685,337.0,0.0211255
41.8001,129.0,0.6141,-0.2201,429.0,0.667692
67.0781,187.0,0.7048,-0.26485,581.0,1.56166
104.95,224.0,0.8903,-0.38515,636.0,1.34137
14.3244,164.0,0.167535,-0.06859,496.0,0.182028
82.6175,138.0,1.3787,-0.40255,437.0,0.15005
106.778,216.0,0.9855,-0.49185,533.0,0.571202
34.4271,155.0,0.4308,-0.201,414.0,0.0604041
38.619,160.0,0.48315,-0.2165,421.0,0.0852085
49.1391,145.0,0.72535,-0.18915,583.0,1.06533
31.6287,165.0,0.36895,-0.15605,480.0,0.575742
60.9878,193.0,0.62825,-0.25725,534.0,1.15851
38.4951,168.0,0.4416,-0.20145,446.0,0.18094
24.0114,150.0,0.316375,-0.1387,405.0,0.0534315
21.1159,183.0,0.20593,-0.0954,520.0,0.908601
77.2938,200.0,0.74175,-0.2809,616.0,1.28756
22.6131,233.0,0.171205,-0.10895,559.0,0.0586713
26.6235,169.0,0.284,-0.1579,473.0,0.019175
14.9342,184.0,0.15707,-0.0655,555.0,0.0716193
58.0371,268.0,0.3968,-0.16355,758.0,1.75403
12.1252,152.0,0.154265,-0.0786,428.0,0.0467671
35.7311,184.0,0.36195,-0.1638,543.0,0.184878
72.9999,182.0,0.84,-0.32505,492.0,0.42528
18.4387,132.0,0.28282,-0.1264,358.0,0.0102938
53.1968,181.0,0.56935,-0.2332,520.0,1.83196
14.7669,181.0,0.15876,-0.099105,385.0,0.0494833
58.4516,225.0,0.4877,-0.2316,594.0,0.377237
53.183,281.0,0.3196,-0.16375,780.0,1.88251
31.1598,182.0,0.31565,-0.15065,508.0,0.0509401
11.1045,237.0,0.08386,-0.04511,674.0,0.143653
37.3317,236.0,0.2818,-0.10455,759.0,1.74431
41.1224,208.0,0.3936,-0.1607,583.0,0.344234
80.3397,168.0,0.9136,-0.40915,463.0,0.651681
27.362,126.0,0.44615,-0.2412,282.0,0.00129908
43.1104,170.0,0.48595,-0.2132,484.0,0.645152
30.7481,155.0,0.38265,-0.2008,361.0,0.0915521
18.4777,225.0,0.14626,-0.0825,582.0,0.100927
40.1719,169.0,0.46275,-0.2099,446.0,0.172557
44.3805,251.0,0.32955,-0.14955,709.0,0.786313
39.2469,126.0,0.6094,-0.24885,369.0,0.0913578
10.5091,114.0,0.19642,-0.09122,275.0,0.0135016
17.2369,191.0,0.16021,-0.0675,626.0,0.265549
62.0591,181.0,0.65065,-0.297,477.0,0.645925
36.8223,157.0,0.47245,-0.2877,328.0,0.0312904
110.155,209.0,1.05555,-0.38935,641.0,1.86387
48.6156,204.0,0.45475,-0.2391,488.0,0.175154
20.9674,143.0,0.268475,-0.14215,381.0,0.00424614
40.2161,174.0,0.4171,-0.21975,448.0,0.0884766
42.6466,191.0,0.40835,-0.13475,698.0,1.90093
14.7978,238.0,0.10765,-0.0445,717.0,1.44817
39.9074,184.0,0.40035,-0.1841,551.0,0.0890462
85.9702,149.0,1.1665,-0.42825,458.0,0.331778
48.316,206.0,0.4274,-0.20135,593.0,0.195893
34.6504,161.0,0.3929,-0.17915,462.0,0.302717
15.3782,144.0,0.2079,-0.1127,359.0,0.00511824
42.3588,234.0,0.325,-0.13875,721.0,1.15014
48.054,309.0,0.304,-0.13325,777.0,0.855664
13.8026,155.0,0.160685,-0.06335,571.0,0.0689373
27.3199,170.0,0.30535,-0.17945,422.0,0.00417047
24.8566,169.0,0.28391,-0.18075,396.0,0.0124364
56.5387,187.0,0.57985,-0.2133,604.0,0.543099
92.6253,178.0,1.11955,-0.6576,369.0,0.0145087
68.5479,198.0,0.60985,-0.25695,660.0,0.812535
40.5008,254.0,0.2695,-0.1307,718.0,1.46804
45.1616,145.0,0.63615,-0.2524,396.0,0.473105
96.5031,161.0,1.1683,-0.6371,367.0,0.0330786
14.1017,132.0,0.221425,-0.08335,407.0,0.0235424
45.6698,230.0,0.4051,-0.182,559.0,0.264459
110.08,208.0,1.0154,-0.5686,485.0,0.25897
54.9824,229.0,0.50065,-0.2492,512.0,0.151749
32.9208,206.0,0.30145,-0.16025,496.0,0.319314
64.0855,146.0,0.86025,-0.3073,491.0,1.21376
14.9096,176.0,0.16421,-0.08115,477.0,0.0283615
47.8053,266.0,0.31235,-0.1543,727.0,0.684984
35.1707,202.0,0.31035,-0.16505,534.0,0.0889124
43.2918,213.0,0.40555,-0.1579,598.0,1.11515
19.0722,186.0,0.1943,-0.09445,497.0,0.0520919
