PCa,Jup,[TRPN],Gncx,"INaCa,SS",CaMKo,[BSL],aCaMK,bCaMK,"tau,diffCa","Tref,v","TRPN50,v","nTm,v","nTRPN,v","kTRPN,v","rs,v","rw,v","Aeff,v","ku,v","beta1,v","beta0,v","gamma,s,v","gamma,w,v","phi,v","ca50,v","nu,v","mu,v"
0.000117334,1.02983,0.0889546,0.00151375,0.978243,0.046416,1.1071,0.0598068,0.000804881,0.24496,102.821,0.414988,2.81632,1.68169,0.0989866,0.23502,0.297638,28.5507,0.0306796,-1.70938,1.80667,0.00866182,0.584976,2.3777,1.1137,4.08292,3.0998
6.3431e-05,0.877743,0.0511572,0.00134122,0.262202,0.0600603,1.61102,0.0362599,0.000745377,0.275309,115.026,0.18247,2.8652,1.85759,0.126959,0.229211,0.47576,12.7668,0.0285421,-1.69776,2.7186,0.00767176,0.717152,2.97479,0.666504,4.13164,3.00843
0.000118088,0.678381,0.0477944,0.00153062,0.434757,0.0414273,1.12106,0.0424014,0.000814624,0.23147,137.176,0.494333,2.1593,1.80972,0.129697,0.181063,0.388222,19.4072,0.0173227,-3.49228,2.57295,0.00463483,0.907395,2.03192,0.886127,4.72958,2.37106
8.91512e-05,1.2225,0.0707493,0.00142784,0.892971,0.0329911,1.24121,0.0382109,0.000712722,0.14191,172.801,0.417835,2.25753,2.28332,0.139023,0.311757,0.733151,14.958,0.0277344,-2.86638,1.38553,0.00485475,0.830242,1.29458,0.590394,5.75401,1.64743
8.30924e-05,1.2811,0.0866337,0.00224316,0.385439,0.0695391,1.20139,0.033442,0.000979005,0.230607,92.3301,0.467238,2.8518,2.47815,0.120397,0.141005,0.351732,19.3456,0.0255647,-1.22106,2.06367,0.0127495,0.673701,2.28312,0.723007,8.63419,2.45784
6.85921e-05,1.08663,0.0651626,0.00186925,0.412964,0.0270449,1.10754,0.0449424,0.000669989,0.143775,170.176,0.443787,2.5896,2.71684,0.0756057,0.310088,0.651145,26.556,0.0110534,-3.12354,1.83591,0.011522,0.369318,2.62935,0.614092,5.36795,4.23723
7.56646e-05,1.01865,0.100582,0.00103759,0.666112,0.0585702,0.697963,0.0371794,0.000945033,0.141176,150.932,0.314943,2.82816,1.45193,0.0748232,0.148669,0.636611,22.2672,0.0223992,-2.4344,3.04941,0.0101022,0.403621,2.21561,0.889448,6.53598,2.36084
7.53116e-05,1.08784,0.0759328,0.00144509,0.692649,0.033289,1.17776,0.0272543,0.000558318,0.1599,89.5408,0.245157,1.82184,2.84311,0.0568571,0.181927,0.710402,17.2712,0.0231667,-2.71375,2.7592,0.0084219,0.460708,1.98681,0.871558,4.08829,4.42622
0.000124238,1.33581,0.0702719,0.00194729,0.946819,0.0323423,1.46573,0.0529383,0.000840705,0.161704,62.2296,0.484474,1.80658,2.95615,0.0620731,0.176325,0.361147,23.3828,0.0128032,-1.42734,2.52648,0.0123715,0.536625,2.54516,0.968707,9.56175,3.91263
9.68312e-05,1.47255,0.0860937,0.00320267,0.42645,0.0255194,0.916821,0.0451585,0.000533533,0.157811,125.941,0.195844,2.51046,1.91852,0.104069,0.265092,0.47663,16.3158,0.0182111,-2.42445,1.95618,0.0070037,0.37173,2.44403,0.724681,8.26879,4.40469
0.000137641,1.18415,0.0960663,0.00248003,0.318905,0.0278745,1.04608,0.0603777,0.000786973,0.11474,149.947,0.20609,2.12012,2.6828,0.0847449,0.248575,0.331272,16.6006,0.0107625,-3.34553,3.25207,0.00526179,0.91631,3.26086,1.03862,9.77462,4.39793
9.59601e-05,0.920776,0.0718124,0.00194891,0.351764,0.0321718,1.09881,0.0621615,0.000555965,0.136289,81.739,0.402089,1.78848,1.54406,0.132186,0.237264,0.431202,22.5509,0.0208917,-2.5796,2.66994,0.0116342,0.663479,1.99078,1.11972,5.46896,2.71942
