"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v"
42.362,172.0,0.45015,-0.2142,490.0,0.104066
97.1707,215.0,0.8536,-0.36985,603.0,1.31156
29.9336,146.0,0.4,-0.2306,324.0,0.0197072
117.762,240.0,0.98915,-0.46515,588.0,0.784058
66.1474,175.0,0.8295,-0.32135,456.0,0.211047
27.8953,153.0,0.34705,-0.2153,325.0,0.0122367
87.1442,260.0,0.62355,-0.35155,597.0,0.386867
35.5988,195.0,0.3356,-0.1307,628.0,1.50746
130.147,239.0,1.0475,-0.53275,600.0,0.512108
116.526,269.0,0.9387,-0.46795,717.0,1.2079
110.448,213.0,1.0292,-0.5053,525.0,0.343789
69.6641,187.0,0.78855,-0.281,545.0,1.03358
30.5591,205.0,0.27405,-0.1343,543.0,0.640276
50.4661,202.0,0.47365,-0.19405,587.0,1.38805
33.9788,166.0,0.4109,-0.15745,531.0,0.859538
84.1446,188.0,0.847,-0.4328,486.0,0.0703827
94.9743,204.0,0.8909,-0.5019,470.0,0.0753511
39.5276,149.0,0.5276,-0.19215,475.0,0.692494
56.4925,152.0,0.69855,-0.3431,383.0,0.117207
54.6953,183.0,0.58965,-0.2094,576.0,0.696484
75.3813,187.0,0.7512,-0.4241,442.0,0.0368132
30.4007,277.0,0.19475,-0.0888,760.0,1.1197
52.1001,159.0,0.63995,-0.2529,474.0,0.0654768
40.6425,218.0,0.3462,-0.16695,593.0,0.456739
55.0898,207.0,0.51835,-0.2061,616.0,0.889508
35.3473,177.0,0.38245,-0.22125,403.0,0.0341364
46.644,150.0,0.61865,-0.24265,454.0,0.425097
92.9243,233.0,0.7858,-0.35645,639.0,0.654663
34.344,211.0,0.2897,-0.13875,626.0,0.407148
62.0575,231.0,0.5435,-0.33205,467.0,0.0425459
21.7796,196.0,0.20788,-0.09575,563.0,0.229604
55.2389,153.0,0.67695,-0.3076,434.0,0.322491
54.1632,155.0,0.6882,-0.3122,414.0,0.0922675
73.7258,242.0,0.62515,-0.268,626.0,1.22859
94.0329,168.0,1.13745,-0.5145,423.0,0.276382
93.8111,217.0,0.859,-0.3222,636.0,1.4739
37.4794,167.0,0.44315,-0.2362,375.0,0.0383251
62.1129,154.0,0.81685,-0.36845,389.0,0.335404
52.2414,180.0,0.5614,-0.2923,435.0,0.198974
109.092,203.0,0.9961,-0.4794,559.0,0.237715
58.5726,174.0,0.636,-0.38965,405.0,0.0379946
76.3027,212.0,0.7365,-0.263,631.0,1.03327
26.9788,183.0,0.297755,-0.1291,478.0,0.365623
37.6861,239.0,0.2887,-0.15725,555.0,0.307327
53.9631,205.0,0.51385,-0.2324,530.0,0.524031
88.4197,249.0,0.647,-0.29255,710.0,1.15405
73.1543,170.0,0.78265,-0.37965,459.0,1.19807
68.9137,192.0,0.63465,-0.2781,652.0,0.668562
101.191,167.0,1.2084,-0.6747,366.0,0.0440548
69.9054,245.0,0.494,-0.2828,647.0,0.34148
63.5901,178.0,0.72115,-0.2755,526.0,1.16293
52.0367,158.0,0.64035,-0.4116,319.0,0.00736525
90.6188,192.0,0.9125,-0.3621,582.0,1.00351
37.7054,206.0,0.3724,-0.1566,546.0,0.364056
36.6327,222.0,0.3082,-0.1682,525.0,0.0379857
48.0542,148.0,0.61165,-0.3293,370.0,0.0224557
66.0137,186.0,0.70865,-0.3231,486.0,0.902828
146.208,241.0,1.25825,-0.5483,632.0,1.1202
72.2369,145.0,0.9811,-0.5031,342.0,0.0522064
35.2917,127.0,0.544,-0.28965,335.0,0.00328744
104.857,155.0,1.4839,-0.39505,557.0,1.45912
65.7473,233.0,0.51915,-0.26285,633.0,0.350073
58.3224,164.0,0.7394,-0.3435,392.0,0.0340868
152.748,216.0,1.4995,-0.6245,554.0,0.404769
51.516,170.0,0.6259,-0.2248,523.0,0.475779
29.8939,133.0,0.4133,-0.23575,328.0,0.0118709
177.612,153.0,2.7016,-1.03295,407.0,0.141267
50.7712,170.0,0.5533,-0.2626,469.0,0.195952
108.593,160.0,1.35585,-0.61485,409.0,0.140942
