"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v","Dlambda,v"
28.7425,120.0,0.623975,-0.16415,447.0,0.0799348,11.4122
35.4088,118.0,1.01185,-0.14665,631.0,1.32117,17.9535
39.3766,64.0,1.90455,-0.11485,714.0,1.56871,23.1348
39.0056,74.0,1.6215,-0.2757,432.0,0.0506589,22.5056
32.1276,164.0,1.07689,-0.1933,511.0,0.172811,14.3222
36.4741,92.0,1.1675,-0.37955,537.0,0.709258,19.4162
28.2149,76.0,0.821245,-0.39055,230.0,0.00044792,10.8124
24.9979,59.0,0.9533,-0.38415,195.0,0.000400159,8.68
34.4808,112.0,1.02731,-0.33195,383.0,0.059412,16.706
36.796,162.0,0.86865,-0.23325,572.0,0.76904,20.2254
33.212,114.0,0.86658,-0.2869,415.0,0.0265464,15.2235
35.172,132.0,0.9066,-0.2138,548.0,0.724201,17.6581
26.8959,61.0,1.19396,-0.25895,254.0,0.00763708,9.96491
35.5622,88.0,0.9911,-0.2757,490.0,0.877327,17.6808
28.4897,141.0,0.77567,-0.1935,396.0,0.00677468,11.2474
35.1166,92.0,1.11367,-0.20705,413.0,0.00553519,17.5055
42.1671,74.0,1.5142,-0.19575,478.0,0.0423447,30.501
32.1117,104.0,0.866015,-0.2522,339.0,0.00436888,14.1516
35.7168,59.0,2.13216,-0.3679,337.0,0.0354029,17.4517
37.9152,100.0,0.94355,-0.2968,559.0,1.00349,21.3092
32.2223,89.0,0.94106,-0.2196,429.0,0.166447,14.1335
21.0998,59.0,0.88745,-0.21865,334.0,0.0363522,6.82062
28.5951,120.0,0.603865,-0.17995,402.0,0.0581747,11.2733
34.366,110.0,1.17189,-0.21835,367.0,0.0256719,16.6788
32.8881,89.0,1.14314,-0.35575,257.0,9.07798e-06,14.7124
37.5775,98.0,1.34538,-0.39405,383.0,0.177703,21.2235
21.0695,49.0,1.06168,-0.3972,140.0,0.000606605,6.60636
30.9108,129.0,0.81391,-0.181,408.0,0.0665053,13.2247
31.0285,68.0,1.24085,-0.276,430.0,0.218236,12.9164
35.51,99.0,1.02907,-0.237,406.0,0.302711,18.0346
37.1545,134.0,1.30443,-0.20695,571.0,0.621827,20.7905
36.3059,112.0,1.11606,-0.2482,359.0,0.0337159,19.3948
19.3841,53.0,0.83891,-0.41245,162.0,4.37653e-05,5.90273
37.1966,173.0,0.82436,-0.3224,596.0,0.311365,21.2047
35.4108,64.0,1.4023,-0.6364,256.0,0.00479818,16.7924
38.5454,106.0,1.4434,-0.29465,525.0,0.0619208,23.2242
34.7451,123.0,0.985125,-0.2092,424.0,0.209201,17.1779
37.4244,58.0,1.70615,-0.31895,346.0,0.0746098,19.5131
31.5641,152.0,0.604175,-0.323,519.0,0.0824359,13.8095
26.7244,149.0,0.548475,-0.2058,532.0,0.763207,9.91101
39.8092,55.0,2.19619,-0.1997,428.0,0.416301,23.4802
14.3584,65.0,0.558845,-0.12005,240.0,0.000912237,4.09636
39.1656,115.0,1.34898,-0.21925,575.0,0.180825,24.7771
38.5872,76.0,1.38695,-0.6715,287.0,0.00129435,21.489
39.6281,64.0,1.7033,-0.41655,351.0,0.236857,23.1064
40.9828,58.0,1.6945,-0.6251,449.0,0.191735,22.5779
26.0169,131.0,0.51333,-0.1574,419.0,0.00686426,9.58927
39.1002,145.0,1.1898,-0.1781,778.0,1.67236,25.4089
42.1239,44.0,2.6014,-0.4452,356.0,0.0435086,22.8932
10.9808,64.0,0.442105,-0.07908,247.0,1.02304e-05,2.98
34.889,80.0,1.62496,-0.30905,622.0,1.83383,16.627
16.8052,62.0,0.61129,-0.2733,164.0,0.00058504,4.97273
30.7946,85.0,0.862205,-0.16615,512.0,0.0540004,12.781
26.4998,100.0,0.62693,-0.1964,349.0,0.00792478,9.809
40.9038,70.0,1.58525,-0.27415,365.0,0.0412139,26.4697
41.006,53.0,1.7905,-0.1796,551.0,0.671697,23.2744
20.0622,136.0,0.494925,-0.1754,303.0,0.00638879,6.47194
41.3915,59.0,2.35043,-0.41805,350.0,0.0201581,26.976
17.3144,47.0,0.929515,-0.4121,131.0,0.000976014,5.05
36.0559,190.0,0.97795,-0.2354,585.0,0.282061,19.1412
29.8221,173.0,0.44232,-0.1985,583.0,1.01082,12.0772
15.6037,51.0,0.67845,-0.25265,208.0,0.000641973,4.45636
26.2208,90.0,0.68677,-0.2445,313.0,0.00226354,9.63563
34.138,67.0,1.46044,-0.51975,324.0,0.00569436,15.5645
16.0751,61.0,0.613385,-0.1777,289.0,0.0708682,4.69263
36.2852,85.0,1.2498,-0.3772,396.0,0.0307819,18.6568
35.8682,58.0,1.90475,-0.186,552.0,0.721736,17.88
35.431,69.0,1.3,-0.2679,349.0,0.0147791,17.1321
37.8735,126.0,1.14597,-0.27245,411.0,0.0906298,22.196
37.5197,66.0,1.4698,-0.6534,242.0,0.00207513,19.5185
39.3363,83.0,1.42485,-0.6925,379.0,0.103864,24.2474
34.0665,81.0,1.11346,-0.60655,322.0,0.0614492,15.6612
24.1758,137.0,0.54492,-0.1462,397.0,0.044366,8.52002
29.6982,75.0,1.05105,-0.3593,307.0,0.00210106,12.1387
35.1221,96.0,1.46541,-0.1894,508.0,0.2993,17.4503
22.549,81.0,0.70287,-0.2264,277.0,0.0138963,7.583
30.1951,103.0,0.776815,-0.29915,274.0,0.00335249,12.4915
36.4915,75.0,1.35406,-0.3208,310.0,0.0898755,18.8052
20.4722,72.0,0.813715,-0.21385,215.0,0.00351777,6.59642
35.2455,114.0,1.13734,-0.2004,396.0,0.0637548,17.8512
38.2826,69.0,1.55765,-0.18965,394.0,0.308166,21.3744
