"Tpeak,a","TTP,t,a","dT/dtMax,a","dT/dtMax,a","Tdur,a","Trest,a"
48.5464,78.0,1.6038,-0.1608,514.0,1.41557
35.3459,93.0,0.82035,-0.1961,375.0,0.0234009
131.904,70.0,5.991,-0.7613,428.0,0.435682
64.98,82.0,2.27105,-0.28875,421.0,0.430253
68.0648,50.0,3.77295,-0.22785,504.0,0.5375
160.193,82.0,7.3938,-0.96255,390.0,0.0826376
102.364,94.0,2.64075,-0.7571,309.0,0.0083603
86.4923,107.0,2.16685,-0.4952,370.0,0.0111708
119.38,159.0,2.53995,-0.4305,606.0,0.978818
124.585,59.0,5.56025,-0.6479,315.0,0.234168
51.5435,67.0,1.85175,-0.6162,190.0,3.95616e-05
28.4054,54.0,1.3321,-0.42885,152.0,0.00013147
62.2353,117.0,1.49795,-0.21335,640.0,1.35716
73.6702,67.0,3.1374,-0.24505,565.0,1.89618
95.6924,77.0,3.0987,-0.7887,259.0,0.0199637
106.918,124.0,2.11425,-0.5747,406.0,0.171994
162.435,110.0,5.66805,-1.4995,353.0,0.00196396
62.4466,101.0,1.5746,-0.528,300.0,0.000272041
126.4,90.0,3.6609,-0.72245,333.0,0.140949
97.5854,56.0,4.7387,-0.42975,396.0,1.29855
34.008,57.0,1.46865,-0.33305,216.0,0.00373363
63.0184,79.0,1.967,-0.3571,322.0,0.301961
43.0516,110.0,1.01097,-0.30725,337.0,0.000106355
68.9818,83.0,1.97765,-0.4287,381.0,0.00782411
120.24,108.0,2.67925,-0.6686,410.0,0.0107089
41.3214,96.0,0.98035,-0.32785,299.0,0.00145626
104.325,102.0,2.4786,-0.4378,439.0,0.155771
68.1021,59.0,3.129,-0.6239,221.0,0.00742885
150.115,85.0,4.47365,-1.0896,323.0,0.310338
54.6901,83.0,1.58305,-0.3575,286.0,0.0287506
32.1582,102.0,0.68565,-0.21815,367.0,0.024229
82.1968,89.0,1.9748,-0.72245,300.0,0.000935478
53.471,79.0,1.5848,-0.64435,215.0,6.22247e-07
100.628,45.0,7.04175,-0.5959,275.0,0.0505125
15.351,50.0,0.79991,-0.30735,120.0,0.000186648
43.0475,111.0,1.0471,-0.28015,347.0,0.0379162
116.817,97.0,2.92585,-0.47895,444.0,0.660315
42.535,76.0,1.38455,-0.28925,261.0,0.0235208
68.8965,80.0,2.21515,-0.3544,322.0,0.101881
98.0348,94.0,2.69835,-0.5066,384.0,0.13585
94.3755,81.0,3.0558,-0.59775,281.0,0.0162747
121.505,66.0,6.25385,-0.65525,405.0,0.0733842
83.1475,81.0,2.60025,-0.3254,451.0,0.561186
96.6491,54.0,4.96785,-1.1531,159.0,0.000329365
103.251,120.0,3.8034,-0.97,344.0,0.000384477
74.0106,89.0,2.51485,-0.47185,318.0,0.0285757
116.44,140.0,2.69275,-0.40805,599.0,1.52634
80.2994,65.0,3.20685,-0.6228,252.0,0.0295767
71.8869,102.0,1.8615,-0.4088,366.0,0.00247294
44.8882,89.0,1.2135,-0.19975,376.0,0.28503
143.376,226.0,3.12845,-0.535,728.0,1.37195
124.092,55.0,6.6055,-0.64725,291.0,0.176838
138.496,52.0,7.46125,-0.50675,432.0,0.608967
79.1115,123.0,2.4015,-0.50095,451.0,0.0067593
83.108,71.0,3.2007,-0.78975,218.0,0.00027944
89.0034,66.0,3.2704,-0.71105,246.0,0.0938264
66.6198,81.0,1.90115,-0.72155,228.0,0.00686254
14.5062,113.0,0.279705,-0.0802,405.0,0.00171379
154.717,158.0,3.9534,-0.82015,495.0,0.24696
117.949,65.0,4.9466,-0.7855,240.0,0.00672981
106.248,90.0,4.27125,-0.4328,543.0,0.866891
91.6677,72.0,3.6014,-0.6482,270.0,0.0209695
80.0589,85.0,2.53815,-0.63695,252.0,6.03725e-05
124.091,62.0,7.197,-0.42565,519.0,1.13347
19.4379,101.0,0.42418,-0.1398,334.0,0.0033293
128.716,69.0,5.1559,-1.1644,290.0,0.0105573
89.1274,78.0,3.9641,-0.53105,330.0,0.0349934
133.754,88.0,4.6084,-0.8535,354.0,0.122121
16.4583,131.0,0.348265,-0.1547,281.0,0.00338367
60.8777,94.0,2.69485,-0.28725,593.0,0.941703
160.765,46.0,12.4323,-1.23965,259.0,0.00137474
11.7846,43.0,0.731415,-0.269225,122.0,0.000451051
161.584,137.0,3.6403,-1.0995,393.0,0.00988119
57.5,107.0,1.2654,-0.3151,408.0,0.326805
27.1764,80.0,0.786115,-0.25395,255.0,0.000242388
56.3277,68.0,2.05295,-0.6159,210.0,0.000408078
87.5643,59.0,3.9901,-0.3384,409.0,0.451829
122.83,65.0,5.51985,-1.01245,265.0,0.00269518
61.3227,47.0,4.3077,-0.3287,319.0,0.156715
60.371,75.0,2.12055,-0.36315,276.0,0.00456632
74.9426,102.0,2.4337,-0.5844,335.0,0.0158907
100.168,63.0,4.1725,-1.3816,177.0,0.000687704
122.071,65.0,6.1232,-0.9851,259.0,0.0241715
46.0444,78.0,1.3649,-0.5561,209.0,0.00915535
26.8945,101.0,0.63712,-0.15095,346.0,0.0173716
82.6188,64.0,3.2767,-0.64225,219.0,0.000221352
82.8236,63.0,3.787,-0.408,315.0,0.0733956
11.8533,72.0,0.39776,-0.13069,231.0,0.00173791
73.7312,67.0,2.70185,-0.66355,220.0,0.00115212
