Iup(max),[Trpn]max,"gb,Ca",gCaL,INaCa(max),"Ip,Ca(max)",[Cmdn]max,"tau,tr","Tref,a","TRPN50,a","nTm,a","nTRPN,a","kTRPN,a","rs,a","rw,a","Aeff,a","ku,a","beta1,a","beta0,a","gamma,s,a","gamma,w,a","phi,a","ca50,a","nu,a","mu,a"
0.0069044,0.0985606,0.0011071,0.107055,1104.58,0.335571,0.0694126,121.295,112.695,0.185952,4.84291,2.13303,0.14969,0.311792,0.531921,20.0305,1.23573,-2.44216,1.17563,0.00751425,0.719256,1.20926,1.23794,8.39138,4.78035
0.00625347,0.083502,0.0014411,0.138052,1244.04,0.320907,0.0482604,203.627,70.5357,0.213152,3.39825,1.80963,0.0962076,0.266073,0.512383,23.2133,0.587228,-2.65294,2.59878,0.00820115,0.682807,2.37338,0.959276,4.23529,9.54531
0.00393079,0.0642208,0.0014913,0.152809,2115.6,0.212594,0.0402092,127.458,171.697,0.432312,5.441,1.93181,0.11003,0.184197,0.374444,30.093,0.696439,-2.37992,3.36495,0.00670479,0.682436,1.37704,0.523655,10.2885,9.95471
0.00473806,0.0771896,0.00121261,0.142449,1200.37,0.340867,0.0422732,241.02,151.278,0.209165,4.75423,2.72487,0.133625,0.364502,0.467253,12.7604,1.34657,-2.35272,1.95187,0.00498481,0.872153,2.07792,1.05216,8.82548,8.42929
0.00560167,0.0792788,0.00164757,0.170464,2044.44,0.397686,0.0458072,192.471,139.814,0.410016,3.92057,2.4339,0.133163,0.364101,0.253663,29.6469,1.23397,-3.38734,2.24456,0.00573964,0.448919,1.97145,0.793062,5.43183,9.20113
0.00685943,0.0851303,0.001576,0.125677,1693.57,0.233435,0.0259374,175.251,157.187,0.40597,4.14262,1.43078,0.0637102,0.235493,0.701979,21.5936,1.09686,-2.72261,1.68231,0.00873133,0.594316,1.42733,0.896952,6.79273,9.32829
0.00620992,0.0650378,0.00125972,0.156719,2130.73,0.267952,0.0445427,159.691,146.355,0.479974,6.4269,2.07943,0.0987892,0.356664,0.673555,36.3379,1.39304,-3.22927,2.26985,0.0123121,0.897704,3.3054,1.12922,5.76984,6.33951
0.00602828,0.083302,0.00148811,0.166573,1940.32,0.187044,0.0486361,169.911,113.154,0.481674,5.36223,2.24568,0.119996,0.222812,0.647386,30.8739,1.41415,-1.8684,1.8892,0.0100198,0.539742,2.22489,1.28115,7.09152,8.5559
0.00623904,0.0928901,0.00128906,0.128739,1162.81,0.266836,0.0419845,149.28,128.725,0.310766,5.75641,1.88169,0.124653,0.258817,0.365894,28.493,1.0826,-1.68458,2.15031,0.00935828,0.920413,1.20256,1.07526,7.59544,9.61112
0.00596563,0.0924767,0.00142706,0.124664,1719.01,0.220224,0.0490181,262.969,173.518,0.249341,3.76569,2.22926,0.0633015,0.243815,0.290841,33.0593,1.33922,-2.68052,1.27345,0.00602329,0.697417,2.57153,0.906592,5.48553,4.66284
