GNa,GNaL,Gto,PCa,GKr,GKs,GK1,Gncx,GNaK,Jrel,Jup,GCa,GKb,PNab,PCab,GClCa,GClb,"INaCa,SS","ICaL,SS",aCaMK,bCaMK,CaMKo,[CMDN],[TRPN],[BSR],[BSL],[CSQN],"tau,diffCa","tau,tr"
14.0738270036,0.0307124291,0.1724283648,9.71061e-05,0.0297480949,0.0010913444,0.6877805833,0.0038446646,15.7004665254,1.8845096591,0.9267790692,0.0006133611,0.0205433535,2.2e-09,6.93e-08,0.3290135706,0.0023052252,0.3346889205,0.8774633372,0.0589689102,0.0008325352,0.0574374288,0.0451534934,0.0555261493,0.0359494799,1.1636856089,10.5697872804,0.2381333375,50.961173446
9.8113880451,0.0314509873,0.1824158241,8.13303e-05,0.0375274534,0.0010079931,0.7589950199,0.0033568011,13.9041921185,1.7112691682,1.1705152997,0.000479421,0.0230473297,1.4e-09,6.14e-08,0.3304255653,0.0022711508,0.4164117386,0.7204320229,0.0553572786,0.0007367794,0.0473231203,0.0522259087,0.0533101985,0.0388334947,1.1862865489,11.5367183821,0.2182548267,45.7499934618
10.539660052,0.0337854781,0.1845836342,0.0001012918,0.0262076311,0.0010425382,0.6429733589,0.0026352009,13.988965295,1.844283521,0.8552231691,0.0003773681,0.0170940712,1.5e-09,5.08e-08,0.283965137,0.0015869959,0.3722353089,0.7537609673,0.0619784916,0.0005501136,0.0423702251,0.0583445312,0.0788696392,0.0579640517,1.2958153266,10.1365760826,0.1746834004,60.983924489
14.1998900658,0.0318074751,0.1836950668,9.90569e-05,0.0330400396,0.0009947848,0.6608197617,0.0035527618,15.660558219,1.690565569,0.9916175757,0.0005701755,0.0149043955,2.4e-09,6.83e-08,0.3459163529,0.0021549402,0.3050136595,0.9735223944,0.0500061605,0.0005237141,0.0376340275,0.0406154603,0.0669288557,0.0385576653,1.3462603151,8.457867757,0.1934826091,68.5644652811
13.2012314035,0.0334085876,0.1281118671,7.05102e-05,0.0376048051,0.0013508052,0.83156809,0.0028019753,12.7685598683,1.5253595158,0.7999334542,0.0003769111,0.014794319,1.6e-09,7.18e-08,0.2254955764,0.0023842114,0.3766301777,0.9522485071,0.0448370423,0.0007794943,0.0514451784,0.0555207627,0.0570979631,0.0500132804,1.1520209539,8.1765997454,0.1915496696,46.9117401795
11.1444937791,0.0216150322,0.1363111132,8.43044e-05,0.028348099,0.0008751595,0.7994681014,0.0035782591,19.1282523782,1.4099529813,1.2110435292,0.0005538299,0.0144764173,1.6e-09,5.55e-08,0.2651077253,0.001505234,0.3095932545,0.601708564,0.0572286129,0.0006957754,0.0542744608,0.0456595242,0.0666243998,0.0407087101,0.9052739927,8.2159883457,0.2385279465,65.6191484957
14.7213586766,0.0283947888,0.1289833765,9.11079e-05,0.0309345694,0.0011552971,0.6510174004,0.0027918221,16.5126479382,1.5772605667,0.879228833,0.0004522572,0.0202094669,2.3e-09,5.33e-08,0.2335230203,0.0023986222,0.4005294179,0.6640067323,0.0536454436,0.000534633,0.0576344931,0.0604491556,0.0526530418,0.036895025,1.3214359535,8.1479367641,0.1610792408,46.3756832605
9.5246904793,0.0267283501,0.1698241868,8.49744e-05,0.024909574,0.0013028888,0.6478697859,0.0035074471,13.972065693,1.5298214083,1.0855649015,0.0004238566,0.0172537796,2.1e-09,6.15e-08,0.2917293195,0.0023651703,0.3720758938,0.8140178836,0.0579670386,0.0007361029,0.0562682912,0.0568690912,0.0533792469,0.0514659168,1.0818627077,8.0971893892,0.2444882974,59.0583926368
9.5257840599,0.0261883804,0.1395720537,8.46821e-05,0.0394892246,0.0011323948,0.5665035616,0.0031173297,18.910370216,1.5237138765,1.1139768874,0.0005282336,0.0173644035,1.7e-09,6.6e-08,0.3126957846,0.0022443122,0.3826998752,0.7394099045,0.0396933122,0.0006197791,0.0493374102,0.0495807044,0.0693838108,0.0437003638,0.8436519095,8.9396268402,0.2055930365,65.9893195462
13.6645276477,0.0237386676,0.1252957651,7.16304e-05,0.0272267303,0.001085833,0.6265092711,0.0029340695,16.8400969359,1.9032731868,1.0402064112,0.0006007575,0.0191401102,1.8e-09,5.18e-08,0.2292507395,0.0016370853,0.2992390119,0.9665808714,0.0582987812,0.000520598,0.0432525599,0.060065701,0.0864664186,0.0402114951,1.2576137837,11.7839076261,0.1811407384,53.1712411332
