model,metric,fold,score,path,best_model
SecondOrderPolynomial,rsme,0,1.122053971712467,../data/cardiac/cardiac1/processed,RBF
SecondOrderPolynomial,rsme,1,1.8106170310545546,../data/cardiac/cardiac1/processed,RBF
SecondOrderPolynomial,rsme,2,1.5412404151592187,../data/cardiac/cardiac1/processed,RBF
SecondOrderPolynomial,rsme,3,1.065463180010908,../data/cardiac/cardiac1/processed,RBF
SecondOrderPolynomial,rsme,4,1.1386274322672532,../data/cardiac/cardiac1/processed,RBF
SecondOrderPolynomial,r2,0,0.9950830375584838,../data/cardiac/cardiac1/processed,RBF
SecondOrderPolynomial,r2,1,0.9923204729330737,../data/cardiac/cardiac1/processed,RBF
SecondOrderPolynomial,r2,2,0.9933343322986803,../data/cardiac/cardiac1/processed,RBF
SecondOrderPolynomial,r2,3,0.9948831020290512,../data/cardiac/cardiac1/processed,RBF
SecondOrderPolynomial,r2,4,0.9944504874764104,../data/cardiac/cardiac1/processed,RBF
RBF,rsme,0,0.9221739434972565,../data/cardiac/cardiac1/processed,RBF
RBF,rsme,1,1.415285148942766,../data/cardiac/cardiac1/processed,RBF
RBF,rsme,2,1.092167516247503,../data/cardiac/cardiac1/processed,RBF
RBF,rsme,3,1.1428226295096144,../data/cardiac/cardiac1/processed,RBF
RBF,rsme,4,1.7731304730510309,../data/cardiac/cardiac1/processed,RBF
RBF,r2,0,0.9943639376335516,../data/cardiac/cardiac1/processed,RBF
RBF,r2,1,0.9960679632922226,../data/cardiac/cardiac1/processed,RBF
RBF,r2,2,0.9945469528565833,../data/cardiac/cardiac1/processed,RBF
RBF,r2,3,0.9943140403527027,../data/cardiac/cardiac1/processed,RBF
RBF,r2,4,0.9944976304716288,../data/cardiac/cardiac1/processed,RBF
RandomForest,rsme,0,4.082308782242555,../data/cardiac/cardiac1/processed,RBF
RandomForest,rsme,1,4.081465769155082,../data/cardiac/cardiac1/processed,RBF
RandomForest,rsme,2,4.012304988992197,../data/cardiac/cardiac1/processed,RBF
RandomForest,rsme,3,3.962469451593328,../data/cardiac/cardiac1/processed,RBF
RandomForest,rsme,4,3.6118356554058377,../data/cardiac/cardiac1/processed,RBF
RandomForest,r2,0,0.6228895355024568,../data/cardiac/cardiac1/processed,RBF
RandomForest,r2,1,0.6581764022015408,../data/cardiac/cardiac1/processed,RBF
RandomForest,r2,2,0.6586117385573514,../data/cardiac/cardiac1/processed,RBF
RandomForest,r2,3,0.6452049151201088,../data/cardiac/cardiac1/processed,RBF
RandomForest,r2,4,0.6631466916350252,../data/cardiac/cardiac1/processed,RBF
GradientBoosting,rsme,0,2.7251649324606166,../data/cardiac/cardiac1/processed,RBF
GradientBoosting,rsme,1,2.3063698147824816,../data/cardiac/cardiac1/processed,RBF
GradientBoosting,rsme,2,2.4767164137581594,../data/cardiac/cardiac1/processed,RBF
GradientBoosting,rsme,3,2.5835892580570383,../data/cardiac/cardiac1/processed,RBF
GradientBoosting,rsme,4,2.676595631756987,../data/cardiac/cardiac1/processed,RBF
GradientBoosting,r2,0,0.9194870505943034,../data/cardiac/cardiac1/processed,RBF
GradientBoosting,r2,1,0.9195598052355615,../data/cardiac/cardiac1/processed,RBF
GradientBoosting,r2,2,0.9210675700396757,../data/cardiac/cardiac1/processed,RBF
GradientBoosting,r2,3,0.9156770557051507,../data/cardiac/cardiac1/processed,RBF
GradientBoosting,r2,4,0.9268133545646636,../data/cardiac/cardiac1/processed,RBF
GaussianProcessSk,rsme,0,18.884222650056653,../data/cardiac/cardiac1/processed,RBF
GaussianProcessSk,rsme,1,1.6548649368803519,../data/cardiac/cardiac1/processed,RBF
GaussianProcessSk,rsme,2,1.5064503021115376,../data/cardiac/cardiac1/processed,RBF
GaussianProcessSk,rsme,3,1.5709134840840444,../data/cardiac/cardiac1/processed,RBF
GaussianProcessSk,rsme,4,1.5141768961292688,../data/cardiac/cardiac1/processed,RBF
GaussianProcessSk,r2,0,0.022273852467954214,../data/cardiac/cardiac1/processed,RBF
GaussianProcessSk,r2,1,0.9938925056249404,../data/cardiac/cardiac1/processed,RBF
GaussianProcessSk,r2,2,0.9947966828450306,../data/cardiac/cardiac1/processed,RBF
GaussianProcessSk,r2,3,0.9945907305024634,../data/cardiac/cardiac1/processed,RBF
GaussianProcessSk,r2,4,0.995034583556243,../data/cardiac/cardiac1/processed,RBF
SupportVectorMachines,rsme,0,3.5893878556572525,../data/cardiac/cardiac1/processed,RBF
SupportVectorMachines,rsme,1,3.667689848872398,../data/cardiac/cardiac1/processed,RBF
SupportVectorMachines,rsme,2,3.340790410525078,../data/cardiac/cardiac1/processed,RBF
SupportVectorMachines,rsme,3,3.3258214799527117,../data/cardiac/cardiac1/processed,RBF
SupportVectorMachines,rsme,4,3.6470129571753525,../data/cardiac/cardiac1/processed,RBF
SupportVectorMachines,r2,0,0.9505380772328231,../data/cardiac/cardiac1/processed,RBF
SupportVectorMachines,r2,1,0.9571893025075502,../data/cardiac/cardiac1/processed,RBF
SupportVectorMachines,r2,2,0.956933901098567,../data/cardiac/cardiac1/processed,RBF
SupportVectorMachines,r2,3,0.9500446557318234,../data/cardiac/cardiac1/processed,RBF
SupportVectorMachines,r2,4,0.9525629220006487,../data/cardiac/cardiac1/processed,RBF
XGBoost,rsme,0,2.9353426394534856,../data/cardiac/cardiac1/processed,RBF
XGBoost,rsme,1,3.2426675841928354,../data/cardiac/cardiac1/processed,RBF
XGBoost,rsme,2,3.0558674519873565,../data/cardiac/cardiac1/processed,RBF
XGBoost,rsme,3,3.0864574868068404,../data/cardiac/cardiac1/processed,RBF
XGBoost,rsme,4,3.40780188215538,../data/cardiac/cardiac1/processed,RBF
XGBoost,r2,0,0.8870462694297497,../data/cardiac/cardiac1/processed,RBF
XGBoost,r2,1,0.8977084896562573,../data/cardiac/cardiac1/processed,RBF
XGBoost,r2,2,0.89542700039819,../data/cardiac/cardiac1/processed,RBF
XGBoost,r2,3,0.8951587010214873,../data/cardiac/cardiac1/processed,RBF
XGBoost,r2,4,0.8772746143186615,../data/cardiac/cardiac1/processed,RBF
NeuralNetSk,rsme,0,10.686567306518555,../data/cardiac/cardiac1/processed,RBF
NeuralNetSk,rsme,1,10.71812915802002,../data/cardiac/cardiac1/processed,RBF
NeuralNetSk,rsme,2,10.944140434265137,../data/cardiac/cardiac1/processed,RBF
NeuralNetSk,rsme,3,10.191080093383789,../data/cardiac/cardiac1/processed,RBF
NeuralNetSk,rsme,4,9.887276649475098,../data/cardiac/cardiac1/processed,RBF
NeuralNetSk,r2,0,-156.79575880616534,../data/cardiac/cardiac1/processed,RBF
NeuralNetSk,r2,1,-121.47236186061087,../data/cardiac/cardiac1/processed,RBF
NeuralNetSk,r2,2,-191.86825705091647,../data/cardiac/cardiac1/processed,RBF
NeuralNetSk,r2,3,-100.7484878209049,../data/cardiac/cardiac1/processed,RBF
NeuralNetSk,r2,4,-123.1688372585505,../data/cardiac/cardiac1/processed,RBF
SecondOrderPolynomial,rsme,0,8.644990808845352,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,1,8.354337752432908,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,2,7.794399280309615,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,3,8.775683227062842,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,4,8.111943254469358,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,0,0.8374513713331672,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,1,0.8366059120330097,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,2,0.8504373209500654,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,3,0.8062216580632144,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,4,0.827754576831546,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RBF,rsme,0,8.85898142239441,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RBF,rsme,1,8.747195930977181,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RBF,rsme,2,9.702695446781302,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RBF,rsme,3,9.892141504774083,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RBF,rsme,4,9.572515913758197,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RBF,r2,0,0.8360580296213793,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RBF,r2,1,0.8298958198414569,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RBF,r2,2,0.8108183262977461,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RBF,r2,3,0.8107018683466588,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RBF,r2,4,0.8115859251498035,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RandomForest,rsme,0,16.89387183173987,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RandomForest,rsme,1,17.40205151995651,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RandomForest,rsme,2,16.983204836003576,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RandomForest,rsme,3,17.691763904836385,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RandomForest,rsme,4,16.468418124538022,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RandomForest,r2,0,0.42440396232708305,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RandomForest,r2,1,0.41942472482961707,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RandomForest,r2,2,0.4296325544570379,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RandomForest,r2,3,0.4279076840279286,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
RandomForest,r2,4,0.4455295068269067,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GradientBoosting,rsme,0,12.769731362510472,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GradientBoosting,rsme,1,13.665406553369353,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GradientBoosting,rsme,2,14.894506824813822,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GradientBoosting,rsme,3,13.73970354173756,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GradientBoosting,rsme,4,12.597334979675983,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GradientBoosting,r2,0,0.6646350823398869,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GradientBoosting,r2,1,0.6812642495523769,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GradientBoosting,r2,2,0.649231556456843,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GradientBoosting,r2,3,0.6594511433026955,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GradientBoosting,r2,4,0.6692071603815098,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,0,14.7587753316389,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,1,9.925012011664563,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,2,10.286610536438337,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,3,27.433252336427852,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,4,28.051862415215215,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GaussianProcessSk,r2,0,0.6658783670197747,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GaussianProcessSk,r2,1,0.7890259155730635,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GaussianProcessSk,r2,2,0.7968250977753811,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GaussianProcessSk,r2,3,0.02416828480117445,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
GaussianProcessSk,r2,4,-4.0833914801490554e-05,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,0,10.964787396516472,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,1,11.279520990563267,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,2,11.21820226563725,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,3,12.986837800836156,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,4,12.384095749895797,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SupportVectorMachines,r2,0,0.7640935136023501,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SupportVectorMachines,r2,1,0.767312685128564,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SupportVectorMachines,r2,2,0.755478528040716,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SupportVectorMachines,r2,3,0.7325563567227948,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SupportVectorMachines,r2,4,0.7419767593102458,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
XGBoost,rsme,0,14.564018855290815,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
XGBoost,rsme,1,14.722308391966601,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
XGBoost,rsme,2,15.097993402227642,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
XGBoost,rsme,3,14.67456146823692,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
XGBoost,rsme,4,15.466041783170425,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
XGBoost,r2,0,0.6408147559177835,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
XGBoost,r2,1,0.630001502720467,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
XGBoost,r2,2,0.6038736135245125,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
XGBoost,r2,3,0.6646127708040008,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
XGBoost,r2,4,0.6459726424462479,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
NeuralNetSk,rsme,0,10.937284469604492,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
NeuralNetSk,rsme,1,11.658227920532227,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
NeuralNetSk,rsme,2,10.905815124511719,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
NeuralNetSk,rsme,3,10.762239456176758,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
NeuralNetSk,rsme,4,10.690457344055176,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
NeuralNetSk,r2,0,0.013583490672386908,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
NeuralNetSk,r2,1,0.06980246019042033,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
NeuralNetSk,r2,2,0.23659653727263244,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
NeuralNetSk,r2,3,0.003030480198515008,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
NeuralNetSk,r2,4,-0.3227299729582125,../data/cardiac/cardiac2/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,0,10.269104959829995,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,1,9.198732040206929,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,2,8.913344709056972,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,3,9.84638625389204,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,4,10.03258247579525,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,0,0.8407200569990932,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,1,0.8697658285827384,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,2,0.8610370119991438,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,3,0.853834488786004,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,4,0.8494600944749525,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RBF,rsme,0,10.828520823270933,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RBF,rsme,1,10.110438839213222,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RBF,rsme,2,9.376632142368413,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RBF,rsme,3,10.1890785763816,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RBF,rsme,4,10.905994705119513,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RBF,r2,0,0.832425204108992,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RBF,r2,1,0.8412499601945194,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RBF,r2,2,0.8463618759763937,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RBF,r2,3,0.8429703215870424,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RBF,r2,4,0.8256418119257497,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RandomForest,rsme,0,17.14885515495132,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RandomForest,rsme,1,18.97879743193703,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RandomForest,rsme,2,18.94781168912483,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RandomForest,rsme,3,17.56181758173546,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RandomForest,rsme,4,19.416837096679988,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RandomForest,r2,0,0.5278030376005551,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RandomForest,r2,1,0.5344842075040823,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RandomForest,r2,2,0.5066268506046413,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RandomForest,r2,3,0.51646021960866,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
RandomForest,r2,4,0.5044505690329634,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GradientBoosting,rsme,0,13.487110947635815,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GradientBoosting,rsme,1,14.422647731209956,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GradientBoosting,rsme,2,13.276705776869091,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GradientBoosting,rsme,3,13.502270893592007,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GradientBoosting,rsme,4,14.686614145946342,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GradientBoosting,r2,0,0.7266055994614814,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GradientBoosting,r2,1,0.7151412964956972,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GradientBoosting,r2,2,0.7439062220988903,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GradientBoosting,r2,3,0.7363821162352487,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GradientBoosting,r2,4,0.7208472538384476,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,0,11.24982760232556,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,1,11.284978872396978,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,2,11.885212549731918,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,3,27.96765084560161,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,4,29.678680980108865,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GaussianProcessSk,r2,0,0.8268762116649649,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GaussianProcessSk,r2,1,0.8103929578640076,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GaussianProcessSk,r2,2,0.8149613049917354,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GaussianProcessSk,r2,3,0.18461332140354392,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
GaussianProcessSk,r2,4,-0.0031048956471163383,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,0,12.894128003430211,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,1,14.221754996336573,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,2,11.982996300550333,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,3,12.211133295199689,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,4,13.277667707979974,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SupportVectorMachines,r2,0,0.7680561026885578,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SupportVectorMachines,r2,1,0.7464207249774715,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SupportVectorMachines,r2,2,0.7565038976674242,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SupportVectorMachines,r2,3,0.7848726421894345,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
SupportVectorMachines,r2,4,0.776859965260242,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
XGBoost,rsme,0,14.266179261550443,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
XGBoost,rsme,1,13.524061625597627,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
XGBoost,rsme,2,13.923188557485695,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
XGBoost,rsme,3,14.919670266233693,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
XGBoost,rsme,4,14.786547749192465,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
XGBoost,r2,0,0.7183880816970554,../data/cardiac/cardiac3/processed,SecondOrderPolynomial
