model,metric,fold,score,path,best_model
SecondOrderPolynomial,rsme,0,1.5686503121621445,../data/cardiac/cardiac1/processed,GaussianProcessSk
SecondOrderPolynomial,rsme,1,1.3395264874864934,../data/cardiac/cardiac1/processed,GaussianProcessSk
SecondOrderPolynomial,rsme,2,1.1061912130635132,../data/cardiac/cardiac1/processed,GaussianProcessSk
SecondOrderPolynomial,rsme,3,1.2250262878802214,../data/cardiac/cardiac1/processed,GaussianProcessSk
SecondOrderPolynomial,rsme,4,1.5280498759791163,../data/cardiac/cardiac1/processed,GaussianProcessSk
SecondOrderPolynomial,r2,0,0.9947726138317479,../data/cardiac/cardiac1/processed,GaussianProcessSk
SecondOrderPolynomial,r2,1,0.9943384298756358,../data/cardiac/cardiac1/processed,GaussianProcessSk
SecondOrderPolynomial,r2,2,0.9942711355343783,../data/cardiac/cardiac1/processed,GaussianProcessSk
SecondOrderPolynomial,r2,3,0.9933967994773829,../data/cardiac/cardiac1/processed,GaussianProcessSk
SecondOrderPolynomial,r2,4,0.9935489576648161,../data/cardiac/cardiac1/processed,GaussianProcessSk
RBF,rsme,0,1.5003613098595052,../data/cardiac/cardiac1/processed,GaussianProcessSk
RBF,rsme,1,1.4798376995820464,../data/cardiac/cardiac1/processed,GaussianProcessSk
RBF,rsme,2,1.1024488425993944,../data/cardiac/cardiac1/processed,GaussianProcessSk
RBF,rsme,3,1.618013494949081,../data/cardiac/cardiac1/processed,GaussianProcessSk
RBF,rsme,4,0.9963468860484602,../data/cardiac/cardiac1/processed,GaussianProcessSk
RBF,r2,0,0.9952466193054528,../data/cardiac/cardiac1/processed,GaussianProcessSk
RBF,r2,1,0.9949564103692515,../data/cardiac/cardiac1/processed,GaussianProcessSk
RBF,r2,2,0.9952241350137283,../data/cardiac/cardiac1/processed,GaussianProcessSk
RBF,r2,3,0.9942342120503849,../data/cardiac/cardiac1/processed,GaussianProcessSk
RBF,r2,4,0.9928947272437308,../data/cardiac/cardiac1/processed,GaussianProcessSk
RandomForest,rsme,0,4.0222729592946065,../data/cardiac/cardiac1/processed,GaussianProcessSk
RandomForest,rsme,1,4.084667722430694,../data/cardiac/cardiac1/processed,GaussianProcessSk
RandomForest,rsme,2,3.860861572352558,../data/cardiac/cardiac1/processed,GaussianProcessSk
RandomForest,rsme,3,4.104777449330904,../data/cardiac/cardiac1/processed,GaussianProcessSk
RandomForest,rsme,4,3.9479744827191063,../data/cardiac/cardiac1/processed,GaussianProcessSk
RandomForest,r2,0,0.6298073224236531,../data/cardiac/cardiac1/processed,GaussianProcessSk
RandomForest,r2,1,0.6313241865738896,../data/cardiac/cardiac1/processed,GaussianProcessSk
RandomForest,r2,2,0.643376336585095,../data/cardiac/cardiac1/processed,GaussianProcessSk
RandomForest,r2,3,0.6257146983991613,../data/cardiac/cardiac1/processed,GaussianProcessSk
RandomForest,r2,4,0.6781349944224994,../data/cardiac/cardiac1/processed,GaussianProcessSk
GradientBoosting,rsme,0,2.6454420154333946,../data/cardiac/cardiac1/processed,GaussianProcessSk
GradientBoosting,rsme,1,2.6031280072732192,../data/cardiac/cardiac1/processed,GaussianProcessSk
GradientBoosting,rsme,2,2.595508027244394,../data/cardiac/cardiac1/processed,GaussianProcessSk
GradientBoosting,rsme,3,2.6169482130380035,../data/cardiac/cardiac1/processed,GaussianProcessSk
GradientBoosting,rsme,4,2.670613582419208,../data/cardiac/cardiac1/processed,GaussianProcessSk
GradientBoosting,r2,0,0.9240165292048441,../data/cardiac/cardiac1/processed,GaussianProcessSk
GradientBoosting,r2,1,0.9187167128662326,../data/cardiac/cardiac1/processed,GaussianProcessSk
GradientBoosting,r2,2,0.9199709328697647,../data/cardiac/cardiac1/processed,GaussianProcessSk
GradientBoosting,r2,3,0.9087727780769189,../data/cardiac/cardiac1/processed,GaussianProcessSk
GradientBoosting,r2,4,0.9340755714722835,../data/cardiac/cardiac1/processed,GaussianProcessSk
GaussianProcessSk,rsme,0,1.6436730241010293,../data/cardiac/cardiac1/processed,GaussianProcessSk
GaussianProcessSk,rsme,1,1.4565219245711993,../data/cardiac/cardiac1/processed,GaussianProcessSk
GaussianProcessSk,rsme,2,1.488018118003018,../data/cardiac/cardiac1/processed,GaussianProcessSk
GaussianProcessSk,rsme,3,1.8927654970773093,../data/cardiac/cardiac1/processed,GaussianProcessSk
GaussianProcessSk,rsme,4,1.4468835928648556,../data/cardiac/cardiac1/processed,GaussianProcessSk
GaussianProcessSk,r2,0,0.9944074044013875,../data/cardiac/cardiac1/processed,GaussianProcessSk
GaussianProcessSk,r2,1,0.9939610004573214,../data/cardiac/cardiac1/processed,GaussianProcessSk
GaussianProcessSk,r2,2,0.9952509056444656,../data/cardiac/cardiac1/processed,GaussianProcessSk
GaussianProcessSk,r2,3,0.9943374473604176,../data/cardiac/cardiac1/processed,GaussianProcessSk
GaussianProcessSk,r2,4,0.9952692570145272,../data/cardiac/cardiac1/processed,GaussianProcessSk
SupportVectorMachines,rsme,0,3.3446856507820866,../data/cardiac/cardiac1/processed,GaussianProcessSk
SupportVectorMachines,rsme,1,3.3358484588085666,../data/cardiac/cardiac1/processed,GaussianProcessSk
SupportVectorMachines,rsme,2,3.407882184480899,../data/cardiac/cardiac1/processed,GaussianProcessSk
SupportVectorMachines,rsme,3,3.8741715473219607,../data/cardiac/cardiac1/processed,GaussianProcessSk
SupportVectorMachines,rsme,4,3.430433325387818,../data/cardiac/cardiac1/processed,GaussianProcessSk
SupportVectorMachines,r2,0,0.9602829882188324,../data/cardiac/cardiac1/processed,GaussianProcessSk
SupportVectorMachines,r2,1,0.9579665159325159,../data/cardiac/cardiac1/processed,GaussianProcessSk
SupportVectorMachines,r2,2,0.9544179693958501,../data/cardiac/cardiac1/processed,GaussianProcessSk
SupportVectorMachines,r2,3,0.9445110842052044,../data/cardiac/cardiac1/processed,GaussianProcessSk
SupportVectorMachines,r2,4,0.952362442899687,../data/cardiac/cardiac1/processed,GaussianProcessSk
NeuralNetSk,rsme,0,10.508261680603027,../data/cardiac/cardiac1/processed,GaussianProcessSk
NeuralNetSk,rsme,1,9.775344848632812,../data/cardiac/cardiac1/processed,GaussianProcessSk
NeuralNetSk,rsme,2,10.422629356384277,../data/cardiac/cardiac1/processed,GaussianProcessSk
NeuralNetSk,rsme,3,9.665478706359863,../data/cardiac/cardiac1/processed,GaussianProcessSk
NeuralNetSk,rsme,4,10.797682762145996,../data/cardiac/cardiac1/processed,GaussianProcessSk
NeuralNetSk,r2,0,-112.39831873632195,../data/cardiac/cardiac1/processed,GaussianProcessSk
NeuralNetSk,r2,1,-233.99216736255383,../data/cardiac/cardiac1/processed,GaussianProcessSk
NeuralNetSk,r2,2,-103.73795395518218,../data/cardiac/cardiac1/processed,GaussianProcessSk
NeuralNetSk,r2,3,-154.51458132034938,../data/cardiac/cardiac1/processed,GaussianProcessSk
NeuralNetSk,r2,4,-141.92217828267528,../data/cardiac/cardiac1/processed,GaussianProcessSk
SecondOrderPolynomial,rsme,0,0.5729738285577372,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,1,0.6037813954275777,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,2,0.6058389268977886,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,3,0.6045191909561333,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,4,0.6023886203551072,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,0,0.9723853684730078,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,1,0.9735950057908236,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,2,0.9734663971901286,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,3,0.9719432458572667,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,4,0.9738623046291305,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RBF,rsme,0,0.840624639251877,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RBF,rsme,1,0.8597216455609387,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RBF,rsme,2,0.7702925670800853,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RBF,rsme,3,0.7960448799938558,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RBF,rsme,4,0.9219923206985149,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RBF,r2,0,0.9625625619509244,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RBF,r2,1,0.9629972219059406,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RBF,r2,2,0.9682775820388514,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RBF,r2,3,0.9610559201477643,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RBF,r2,4,0.9577764154811442,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RandomForest,rsme,0,2.5466553555207456,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RandomForest,rsme,1,2.4132278628927724,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RandomForest,rsme,2,2.4619485255601576,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RandomForest,rsme,3,2.4544901256598477,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RandomForest,rsme,4,2.353637809787522,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RandomForest,r2,0,0.6925608848710607,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RandomForest,r2,1,0.702350281754601,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RandomForest,r2,2,0.6752414132488533,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RandomForest,r2,3,0.6609951200331292,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
RandomForest,r2,4,0.7153659365405317,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GradientBoosting,rsme,0,1.20098159235906,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GradientBoosting,rsme,1,1.227406378012054,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GradientBoosting,rsme,2,1.2303375054563428,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GradientBoosting,rsme,3,1.2077522854763845,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GradientBoosting,rsme,4,1.2477740584882269,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GradientBoosting,r2,0,0.9257229872462455,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GradientBoosting,r2,1,0.9231961926897951,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GradientBoosting,r2,2,0.9223080600340015,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GradientBoosting,r2,3,0.9196094791847321,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GradientBoosting,r2,4,0.9247662345221439,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,0,4.89891166360167,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,1,0.8454997982758415,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,2,5.117139413243018,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,3,0.7754144108447141,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,4,5.148498858356044,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GaussianProcessSk,r2,0,0.09283114505885452,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GaussianProcessSk,r2,1,0.9613610290377351,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GaussianProcessSk,r2,2,-4.746011364221447e-06,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GaussianProcessSk,r2,3,0.968939425409036,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
GaussianProcessSk,r2,4,0.0013065905626525704,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,0,1.8089046654366299,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,1,1.3651397623597057,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,2,1.584185076675173,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,3,1.670864899681504,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SupportVectorMachines,rsme,4,1.42584357472326,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SupportVectorMachines,r2,0,0.8776589869109187,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SupportVectorMachines,r2,1,0.9132805071488836,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SupportVectorMachines,r2,2,0.8968176080540657,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SupportVectorMachines,r2,3,0.8907637554118464,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SupportVectorMachines,r2,4,0.9030736826138841,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
NeuralNetSk,rsme,0,4.803979873657227,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
NeuralNetSk,rsme,1,4.95526647567749,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
NeuralNetSk,rsme,2,4.858213901519775,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
NeuralNetSk,rsme,3,5.229175090789795,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
NeuralNetSk,rsme,4,4.849919319152832,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
NeuralNetSk,r2,0,0.040440737506438854,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
NeuralNetSk,r2,1,-0.1256295067619926,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
NeuralNetSk,r2,2,-0.06152359110227167,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
NeuralNetSk,r2,3,0.0332065886911273,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
NeuralNetSk,r2,4,-0.07516516906518947,../data/cardiac/cardiac5/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,0,31.668206630641652,../data/cardiac/cardiac6/processed,RBF
SecondOrderPolynomial,rsme,1,30.258996381012842,../data/cardiac/cardiac6/processed,RBF
SecondOrderPolynomial,rsme,2,32.11437491935562,../data/cardiac/cardiac6/processed,RBF
SecondOrderPolynomial,rsme,3,29.505108143637546,../data/cardiac/cardiac6/processed,RBF
SecondOrderPolynomial,rsme,4,31.138203938463683,../data/cardiac/cardiac6/processed,RBF
SecondOrderPolynomial,r2,0,0.1726669022468878,../data/cardiac/cardiac6/processed,RBF
SecondOrderPolynomial,r2,1,0.1062464580850003,../data/cardiac/cardiac6/processed,RBF
SecondOrderPolynomial,r2,2,0.22355890988123953,../data/cardiac/cardiac6/processed,RBF
SecondOrderPolynomial,r2,3,0.11368428682889506,../data/cardiac/cardiac6/processed,RBF
SecondOrderPolynomial,r2,4,0.10187224452641033,../data/cardiac/cardiac6/processed,RBF
RBF,rsme,0,12.851987450593857,../data/cardiac/cardiac6/processed,RBF
RBF,rsme,1,14.162524395848456,../data/cardiac/cardiac6/processed,RBF
RBF,rsme,2,15.572014030413971,../data/cardiac/cardiac6/processed,RBF
RBF,rsme,3,12.849614227642803,../data/cardiac/cardiac6/processed,RBF
RBF,rsme,4,12.208151816314537,../data/cardiac/cardiac6/processed,RBF
RBF,r2,0,0.878628095384904,../data/cardiac/cardiac6/processed,RBF
RBF,r2,1,0.8810273985018618,../data/cardiac/cardiac6/processed,RBF
RBF,r2,2,0.8484083707824717,../data/cardiac/cardiac6/processed,RBF
RBF,r2,3,0.8738953532834308,../data/cardiac/cardiac6/processed,RBF
RBF,r2,4,0.8922037727396868,../data/cardiac/cardiac6/processed,RBF
RandomForest,rsme,0,21.64125111686854,../data/cardiac/cardiac6/processed,RBF
RandomForest,rsme,1,21.243667007812086,../data/cardiac/cardiac6/processed,RBF
RandomForest,rsme,2,22.96789784350262,../data/cardiac/cardiac6/processed,RBF
RandomForest,rsme,3,21.230459960327924,../data/cardiac/cardiac6/processed,RBF
RandomForest,rsme,4,24.486614601871512,../data/cardiac/cardiac6/processed,RBF
RandomForest,r2,0,0.5701020590110443,../data/cardiac/cardiac6/processed,RBF
RandomForest,r2,1,0.5498722808474776,../data/cardiac/cardiac6/processed,RBF
RandomForest,r2,2,0.5572433100592171,../data/cardiac/cardiac6/processed,RBF
RandomForest,r2,3,0.48926803330789104,../data/cardiac/cardiac6/processed,RBF
RandomForest,r2,4,0.4847548946838887,../data/cardiac/cardiac6/processed,RBF
GradientBoosting,rsme,0,20.358334474504527,../data/cardiac/cardiac6/processed,RBF
GradientBoosting,rsme,1,16.03849995085748,../data/cardiac/cardiac6/processed,RBF
GradientBoosting,rsme,2,17.59389799924297,../data/cardiac/cardiac6/processed,RBF
GradientBoosting,rsme,3,16.906230980059554,../data/cardiac/cardiac6/processed,RBF
GradientBoosting,rsme,4,16.69898930252743,../data/cardiac/cardiac6/processed,RBF
GradientBoosting,r2,0,0.7572199458975627,../data/cardiac/cardiac6/processed,RBF
GradientBoosting,r2,1,0.7790474149436275,../data/cardiac/cardiac6/processed,RBF
GradientBoosting,r2,2,0.7570888653697925,../data/cardiac/cardiac6/processed,RBF
GradientBoosting,r2,3,0.7455320806361299,../data/cardiac/cardiac6/processed,RBF
GradientBoosting,r2,4,0.7791163136313333,../data/cardiac/cardiac6/processed,RBF
GaussianProcessSk,rsme,0,16.16386413305427,../data/cardiac/cardiac6/processed,RBF
GaussianProcessSk,rsme,1,13.52974310920933,../data/cardiac/cardiac6/processed,RBF
GaussianProcessSk,rsme,2,14.491600964626926,../data/cardiac/cardiac6/processed,RBF
GaussianProcessSk,rsme,3,16.684553282518326,../data/cardiac/cardiac6/processed,RBF
GaussianProcessSk,rsme,4,14.203962741123783,../data/cardiac/cardiac6/processed,RBF
GaussianProcessSk,r2,0,0.8350910015662458,../data/cardiac/cardiac6/processed,RBF
GaussianProcessSk,r2,1,0.8625613174692546,../data/cardiac/cardiac6/processed,RBF
GaussianProcessSk,r2,2,0.8509372430188991,../data/cardiac/cardiac6/processed,RBF
GaussianProcessSk,r2,3,0.7856231447489361,../data/cardiac/cardiac6/processed,RBF
GaussianProcessSk,r2,4,0.8539587106188229,../data/cardiac/cardiac6/processed,RBF
SupportVectorMachines,rsme,0,18.942103436867804,../data/cardiac/cardiac6/processed,RBF
SupportVectorMachines,rsme,1,18.735808875215348,../data/cardiac/cardiac6/processed,RBF
SupportVectorMachines,rsme,2,19.129067910828297,../data/cardiac/cardiac6/processed,RBF
SupportVectorMachines,rsme,3,17.04222853639911,../data/cardiac/cardiac6/processed,RBF
SupportVectorMachines,rsme,4,18.98885838397691,../data/cardiac/cardiac6/processed,RBF
SupportVectorMachines,r2,0,0.7150846288533353,../data/cardiac/cardiac6/processed,RBF
SupportVectorMachines,r2,1,0.7187578386082407,../data/cardiac/cardiac6/processed,RBF
SupportVectorMachines,r2,2,0.7512058637439075,../data/cardiac/cardiac6/processed,RBF
SupportVectorMachines,r2,3,0.7354362568303208,../data/cardiac/cardiac6/processed,RBF
SupportVectorMachines,r2,4,0.7556981706214306,../data/cardiac/cardiac6/processed,RBF
NeuralNetSk,rsme,0,37.53107452392578,../data/cardiac/cardiac6/processed,RBF
NeuralNetSk,rsme,1,44.118919372558594,../data/cardiac/cardiac6/processed,RBF
NeuralNetSk,rsme,2,42.90331268310547,../data/cardiac/cardiac6/processed,RBF
NeuralNetSk,rsme,3,39.953216552734375,../data/cardiac/cardiac6/processed,RBF
NeuralNetSk,rsme,4,47.031394958496094,../data/cardiac/cardiac6/processed,RBF
NeuralNetSk,r2,0,-4.395437637535006,../data/cardiac/cardiac6/processed,RBF
NeuralNetSk,r2,1,-5.750306399395917,../data/cardiac/cardiac6/processed,RBF
NeuralNetSk,r2,2,-5.627895721506979,../data/cardiac/cardiac6/processed,RBF
NeuralNetSk,r2,3,-4.687283050267764,../data/cardiac/cardiac6/processed,RBF
NeuralNetSk,r2,4,-5.430121484072027,../data/cardiac/cardiac6/processed,RBF
SecondOrderPolynomial,rsme,0,2.2867103503214476,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,1,1.9156520914894406,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,2,2.2597248710622604,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,3,2.096464569517108,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
SecondOrderPolynomial,rsme,4,1.7288455987230902,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,0,0.9348750840664847,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,1,0.9474732529758292,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,2,0.9398990133395598,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,3,0.9340236311220308,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
SecondOrderPolynomial,r2,4,0.9456456066960438,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RBF,rsme,0,2.503693921150987,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RBF,rsme,1,1.9500609466539052,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RBF,rsme,2,2.8897874729844006,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RBF,rsme,3,2.195698938553386,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RBF,rsme,4,2.271317872093334,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RBF,r2,0,0.925981897430794,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RBF,r2,1,0.9148053516965583,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RBF,r2,2,0.8950860210116379,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RBF,r2,3,0.9223369881298238,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RBF,r2,4,0.9415199735828076,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RandomForest,rsme,0,5.499460892861261,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RandomForest,rsme,1,4.824990930421014,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RandomForest,rsme,2,3.8602248786001176,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RandomForest,rsme,3,4.362272102496404,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RandomForest,rsme,4,5.251874905548745,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RandomForest,r2,0,0.5589008507909045,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RandomForest,r2,1,0.6493106520208252,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RandomForest,r2,2,0.7248238519511743,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RandomForest,r2,3,0.7479584571868382,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
RandomForest,r2,4,0.6182675271534849,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GradientBoosting,rsme,0,3.8006362247093093,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GradientBoosting,rsme,1,2.8864225217569994,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GradientBoosting,rsme,2,3.725990868068472,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GradientBoosting,rsme,3,2.2642453214383664,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GradientBoosting,rsme,4,3.053497149847656,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GradientBoosting,r2,0,0.7868801833945884,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GradientBoosting,r2,1,0.8856525991556733,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GradientBoosting,r2,2,0.8532630230477127,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GradientBoosting,r2,3,0.9261468248164958,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GradientBoosting,r2,4,0.8550757545200401,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,0,3.6681620659999523,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,1,3.6845488673008053,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,2,2.835723467658905,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,3,3.389142677703326,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GaussianProcessSk,rsme,4,2.7239431601879374,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GaussianProcessSk,r2,0,0.7930392197980667,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
GaussianProcessSk,r2,1,0.8223428001763818,../data/cardiac/cardiac7/processed,SecondOrderPolynomial
